source	year	id	url	suppfile
geo	2019	GSE122157	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122157/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE122nnn/GSE122157//suppl/GSE122157_TAMVsNCaph2.genes_de.xlsx
geo	2019	GSE114058	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114058/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE114nnn/GSE114058//suppl/GSE114058_DEgenes_Copper_OT_CH.xlsx.gz
geo	2019	GSE130658	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130658/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE130nnn/GSE130658//suppl/GSE130658_all_gene_expression.xlsx.gz
geo	2019	GSE130658	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130658/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE130nnn/GSE130658//suppl/GSE130658_gene_expression_P0.1_FC2.xlsx.gz
geo	2019	GSE124132	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124132/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE124nnn/GSE124132//suppl/GSE124132_DRIPseq_readcounts_ORFs.xlsx
geo	2019	GSE124132	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124132/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE124nnn/GSE124132//suppl/GSE124132_NormalizedRNAseq_pombe_length_HTseqcounts.xlsx
geo	2019	GSE122718	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122718/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE122nnn/GSE122718//suppl/GSE122718_WT_cmd1_WGBS_Methylation_all.xlsx
geo	2019	GSE122717	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122717/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE122nnn/GSE122717//suppl/GSE122717_WT_cmd1_RNA_seq_FPKM_all.xlsx
geo	2019	GSE125403	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125403/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE125nnn/GSE125403//suppl/GSE125403_RNAseq_processed_FPKM.xlsx
geo	2019	GSE130387	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130387/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE130nnn/GSE130387//suppl/GSE130387_Normalized_Intensity_File.xlsx
geo	2019	GSE130387	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130387/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE130nnn/GSE130387//suppl/GSE130387_Raw_Intensity_File.xlsx
geo	2019	GSE130632	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130632/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE130nnn/GSE130632//suppl/GSE130632_Count_table_HSUR1mutants.xlsx
geo	2019	GSE123580	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123580/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE123nnn/GSE123580//suppl/GSE123580_bonemarrow_BarcodeLogic.xlsx
geo	2019	GSE123579	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123579/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE123nnn/GSE123579//suppl/GSE123579_SpeciesMix-BarcodeLogic.xlsx
geo	2019	GSE123578	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123578/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE123nnn/GSE123578//suppl/GSE123578_isolates_BeadStructure.xlsx
geo	2019	GSE123577	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123577/	ftp://ftp.ncbi.nlm.nih.gov:21/geo/series/GSE123nnn/GSE123577//suppl/GSE123577_pbmc_BarcodeLogic.xlsx
